What is the Computer Science (CS) club?,"The University of Adelaide Computer Science Club is a student-run club for those with an interest in computer science or computing in general. Although we're a university club, we welcome anyone interested in computer science and/or socialising to join! The club has frequent events such as game nights, computer science talks, educational workshops, and programming competitions. To learn more about the club, visit [LINK=https://csclub.org.au/]."
How can I become a member?,"The club membership costs $10 for the full year. You can pay for the membership online on our website here: [LINK=https://csclub.org.au/join/] Alternatively, you can pay at any upcoming club event or contact one of the committee members here!"
What benefits do I get with the membership?,"The membership gives you access to The Duck Lounge (located at Engineering and Maths EM110), educational workshops, social nights, and a wide network of other computer science students and graduates. "
What and where is the Duck Lounge? ,"The Duck Lounge is located at EM110 in the Engineering and Maths building. It has a study space with power outlets and couches, along with a Nintendo Switch for games. We also sell snacks and drinks at affordable prices."
What is Ravi's Study Program (RSP)?,"Participating in RSP (Ravi's Study Program) could possibly be the single most beneficial thing you can do while you're at University to land a job as a Software Engineer at a great company. The program is run by current and former students and tutors from The University of Adelaide, and provides students with the exact steps they need to take to prepare themselves to pass interviews at big tech/FAANG companies. There are very impressive numbers of people that land internships at these companies after successfully completing the program."
How can I get involved with/join RSP?,"RSP is an intensive programming bootcamp that runs each summer break. If you wish to get involved, keep an eye out for flyers on campus towards the end of Semester 2 and advertisements that are posted in the Discord."
Who are you?,"I'm duckbot, the official discord bot for the University of Adelaide CS Club Discord. I'm here to help you know more about the CS club, upcoming events,  and more!"
CS club join link,[LINK=https://csclub.org.au/join]
CS club info,"The University of Adelaide Computer Science Club is a student-run club for those with an interest in computer science or computing in general. Although we're a university club, we welcome anyone interested in computer science and/or socialising to join! The club has frequent events such as game nights, computer science talks, educational workshops, and programming competitions."
What is the Competitive Programming Club (CPC)?,"The Competitive Programming Club (CPC) is a student-run club dedicated to promote and nurture the sport of competitive programming at the University of Adelaide. The club hosts frequent practice competitions and training workshops, discusses algorithms, and celebrate with free food. To learn more about it, visit [LINK=https://acpc.io/]."
